result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif
lose,2.99,-1.9800000000000004,2.0,-2.5,-0.5,6.5,8.0,-49.0
draw,3.22,0.43999999999999995,-1.5300000000000011,-3.269999999999996,-0.7599999999999909,-0.5900000000000034,6.0,-145.0
draw,3.0,1.4,-1.5300000000000011,-3.269999999999996,-0.7599999999999909,-0.5900000000000034,-1.0,18.0
win,3.27,2.09,-1.6700000000000017,-1.7000000000000028,-0.9299999999999926,-3.3400000000000034,1.0,-280.0
win,3.52,0.020000000000000018,4.400000000000006,4.269999999999996,3.2900000000000063,5.3799999999999955,-6.0,101.0
draw,4.16,-5.52,8.0,8.469999999999999,7.290000000000006,4.8799999999999955,-22.0,363.0
win,3.93,-5.49,4.219999999999999,6.359999999999999,3.230000000000004,3.3799999999999955,-25.0,461.0
win,3.1,-1.7000000000000002,5.0,3.8700000000000045,4.490000000000009,5.079999999999998,-39.0,164.0
win,4.1,-6.970000000000001,5.0,6.469999999999999,3.2900000000000063,2.8799999999999955,-40.0,559.0
win,3.35,-1.6100000000000003,4.060000000000002,4.189999999999998,4.1200000000000045,3.8799999999999955,-12.0,214.0
win,4.35,-7.750000000000001,8.0,13.469999999999999,5.290000000000006,0.8799999999999955,-30.0,536.0
lose,3.33,1.7599999999999998,-3.6099999999999994,-1.5900000000000034,-4.1499999999999915,-3.950000000000003,2.0,-339.0
draw,3.91,5.92,-7.799999999999997,-1.5300000000000011,-13.399999999999999,-14.329999999999998,49.0,-352.0
lose,5.08,4.36,-5.030000000000001,-6.239999999999995,-9.549999999999997,-4.469999999999999,47.0,-697.0
lose,4.09,7.56,-5.030000000000001,-6.239999999999995,-9.549999999999997,-4.469999999999999,34.0,-550.0
win,3.65,2.3600000000000003,3.5,1.5,-3.5,3.0,18.0,-198.0
win,3.07,0.31999999999999984,6.829999999999998,7.0,0.3299999999999983,5.670000000000002,29.0,-308.0
draw,3.28,0.4500000000000002,6.0,6.599999999999994,1.2999999999999972,6.200000000000003,-30.0,322.0
lose,4.88,7.460000000000001,-11.0,-11.599999999999994,-11.799999999999997,-8.799999999999997,70.0,-487.0
lose,3.73,2.5199999999999996,-3.0,-1.5,0.0,-3.0,28.0,-279.0
draw,3.13,-1.42,-2.0,0.0799999999999983,-4.150000000000006,-4.079999999999998,-14.0,77.0
draw,4.4,-7.46,8.799999999999997,8.61,11.249999999999993,8.25,-53.0,406.0
lose,4.2,7.01,-10.61,-7.980000000000004,-11.590000000000003,-10.909999999999997,28.0,-821.0
win,3.75,-1.4999999999999998,13.0,8.079999999999998,13.849999999999994,14.920000000000002,-20.0,64.0
lose,3.09,1.31,-5.180000000000007,-2.010000000000005,-6.359999999999999,-6.0,-1.0,29.0
lose,3.45,1.27,-2.1200000000000045,-1.3100000000000023,-4.209999999999994,-3.5700000000000074,-6.0,131.0
lose,3.25,-1.85,3.9000000000000057,6.329999999999998,2.450000000000003,3.3900000000000006,-15.0,48.0
lose,3.04,-0.8399999999999999,-1.2199999999999989,-1.1099999999999994,-2.6099999999999994,-4.670000000000002,-16.0,334.0
draw,2.93,1.1799999999999997,-0.730000000000004,-0.8400000000000034,0.21999999999999886,-1.7800000000000011,3.0,-392.0
lose,2.87,1.69,-1.3400000000000034,-0.9500000000000028,-1.1200000000000045,-1.2800000000000011,5.0,-15.0
win,4.68,-1.9600000000000002,5.939999999999998,2.8299999999999983,6.939999999999998,6.939999999999998,-19.0,321.0
win,4.0,-8.2,6.939999999999998,1.3299999999999983,8.439999999999998,8.439999999999998,-9.0,50.0
win,2.62,-1.2999999999999998,5.0,5.049999999999997,5.269999999999996,5.439999999999998,5.0,-14.0
win,3.72,-4.42,4.939999999999998,3.8299999999999983,8.939999999999998,1.9399999999999977,-37.0,610.0
win,3.03,0.75,0.9399999999999977,0.8599999999999994,1.1499999999999915,1.5600000000000023,7.0,-37.0
win,4.44,-8.48,16.939999999999998,16.33,17.439999999999998,15.439999999999998,-81.0,798.0
draw,3.23,2.3499999999999996,-2.6700000000000017,-0.730000000000004,-3.0,-2.3900000000000006,-3.0,127.0
draw,3.16,1.9900000000000002,-0.5900000000000034,-0.9699999999999989,-0.5499999999999972,0.7800000000000011,47.0,-514.0
win,3.54,-2.29,6.829999999999998,6.530000000000001,5.6000000000000085,7.0,33.0,-280.0
win,4.3,-7.53,6.030000000000001,5.530000000000001,4.200000000000003,3.4000000000000057,1.0,12.0
draw,3.6,-2.8299999999999996,6.030000000000001,5.6299999999999955,6.0,6.6000000000000085,-32.0,289.0
draw,4.07,4.8100000000000005,-7.079999999999998,-5.530000000000001,-8.239999999999995,-7.429999999999993,58.0,-697.0
lose,3.05,0.17000000000000037,-0.8499999999999943,-3.1599999999999966,0.7600000000000051,-1.5999999999999943,43.0,-390.0
win,3.59,3.4399999999999995,0.7999999999999972,1.0,1.4000000000000057,3.5999999999999943,32.0,-292.0
lose,6.71,14.89,-13.11,-11.060000000000002,-12.439999999999998,-10.829999999999998,28.0,-105.0
lose,3.75,5.6,-3.5,-2.6700000000000017,-1.8299999999999983,2.5,-7.0,34.0
lose,3.73,3.28,-0.9000000000000057,-0.20000000000000284,-1.5999999999999943,1.0999999999999943,10.0,-203.0
lose,4.58,5.96,-5.0,-4.5,-3.8900000000000006,-7.890000000000001,34.0,-727.0
lose,3.22,-1.8800000000000003,1.6700000000000017,-0.8299999999999983,2.8299999999999983,0.8299999999999983,-15.0,93.0
lose,3.06,2.2300000000000004,-3.3299999999999983,-2.799999999999997,-2.960000000000008,-4.549999999999997,44.0,-178.0
lose,3.02,-0.14000000000000012,0.730000000000004,3.7900000000000063,1.519999999999996,-2.1099999999999994,28.0,-434.0
win,3.82,5.24,-9.650000000000006,-14.239999999999995,-6.650000000000006,-3.6500000000000057,29.0,-457.0
lose,3.21,1.73,-1.0,-7.079999999999998,2.1500000000000057,6.079999999999998,4.0,-54.0
lose,4.17,6.34,-9.939999999999998,-12.0,-10.0,-11.5,22.0,-309.0
draw,3.18,1.5300000000000002,-1.8900000000000006,-2.5,-2.1099999999999994,-2.9399999999999977,17.0,-196.0
win,3.4,1.3399999999999999,-12.349999999999994,-13.489999999999995,-12.269999999999996,-13.079999999999998,78.0,-726.0
draw,3.14,0.3200000000000003,-6.009999999999991,-7.489999999999995,-5.8799999999999955,-6.359999999999999,68.0,-556.0
lose,3.04,0.8300000000000001,-7.449999999999989,-10.899999999999991,-5.1499999999999915,-8.36,65.0,-518.0
lose,3.29,-0.44999999999999973,-5.5,-5.099999999999994,-7.799999999999997,-7.200000000000003,28.0,-211.0
lose,3.55,2.8099999999999996,-8.61,-7.989999999999995,-8.909999999999997,-9.920000000000002,43.0,-517.0
win,8.18,17.880000000000003,-12.329999999999998,-10.539999999999992,-12.909999999999997,-12.420000000000002,59.0,-1033.0
win,3.0,-0.10999999999999988,-3.6200000000000045,-3.219999999999999,-3.9200000000000017,-6.320000000000007,39.0,-396.0
lose,3.81,3.9299999999999997,-5.439999999999998,-5.3799999999999955,-5.969999999999999,-6.200000000000003,44.0,-463.0
win,2.87,-1.46,9.5,4.900000000000006,5.200000000000003,14.799999999999997,-27.0,95.0
lose,4.45,-3.9499999999999993,8.010000000000005,5.859999999999999,7.439999999999998,9.329999999999998,-14.0,502.0
lose,2.99,-0.8400000000000003,1.3299999999999983,-0.21999999999999886,1.8799999999999955,1.1099999999999994,0.0,0.0
win,8.36,-21.46,16.11,15.060000000000002,14.439999999999998,15.329999999999998,-36.0,868.0
draw,5.08,-8.89,7.609999999999999,4.560000000000002,11.939999999999998,4.329999999999998,-34.0,483.0
lose,3.35,-3.2299999999999995,3.6099999999999994,1.5900000000000034,4.1499999999999915,3.950000000000003,-8.0,401.0
win,3.19,-2.18,2.6700000000000017,0.730000000000004,3.0,2.3900000000000006,-4.0,451.0
lose,5.16,-11.75,7.670000000000002,8.180000000000007,8.629999999999995,6.390000000000001,-17.0,703.0
win,4.0,-8.2,13.61,13.560000000000002,14.439999999999998,11.829999999999998,-23.0,83.0
win,3.0,-2.5300000000000002,9.61,8.39,10.61,13.329999999999998,-35.0,139.0
lose,3.36,3.3400000000000003,-6.679999999999993,-6.030000000000001,-6.799999999999997,-6.8799999999999955,3.0,-47.0
draw,2.62,0.73,-6.679999999999993,-6.030000000000001,-6.799999999999997,-6.8799999999999955,5.0,-26.0
win,3.1,-1.7000000000000002,1.7600000000000051,2.3900000000000006,1.9100000000000108,2.260000000000005,-16.0,59.0
win,3.05,-1.6600000000000001,4.260000000000005,5.569999999999993,4.560000000000002,5.38000000000001,-42.0,431.0
win,2.95,0.8300000000000001,-1.1799999999999926,2.5900000000000034,-1.0499999999999972,-2.259999999999991,10.0,-190.0
draw,3.68,-5.94,3.9399999999999977,1.8799999999999955,2.8100000000000023,2.4399999999999977,-18.0,359.0
win,3.19,-0.75,5.060000000000002,3.319999999999993,4.8700000000000045,7.5,-15.0,261.0
lose,3.51,2.59,-6.340000000000003,-8.400000000000006,-6.75,-5.280000000000001,-12.0,220.0
draw,4.0,-5.119999999999999,8.439999999999998,6.8799999999999955,5.810000000000002,8.939999999999998,-19.0,165.0
win,2.83,-2.42,5.439999999999998,2.9799999999999898,5.609999999999999,7.640000000000001,6.0,-25.0
draw,3.02,-0.6699999999999999,1.9399999999999977,0.20999999999999375,1.980000000000004,6.939999999999998,-5.0,26.0
lose,6.91,13.29,-21.28,-16.28,-17.560000000000002,-27.72,51.0,-183.0
lose,3.6,5.0600000000000005,-14.939999999999998,-7.8799999999999955,-10.810000000000002,-22.439999999999998,21.0,-70.0
lose,4.26,7.25,-11.439999999999998,-14.0,-11.560000000000002,-10.060000000000002,12.0,-132.0
win,3.58,-4.61,4.0,5.170000000000002,3.8299999999999983,-1.5,12.0,-56.0
win,3.55,-2.2299999999999995,-2.6099999999999994,-3.0,-4.329999999999998,-3.5,-12.0,179.0
lose,3.07,6.450000000000001,-9.439999999999998,-8.439999999999998,-9.439999999999998,-8.719999999999999,12.0,-299.0
lose,3.06,-0.71,-1.6099999999999994,-5.5,-0.8299999999999983,-1.0,-20.0,140.0
draw,4.09,2.67,-7.549999999999997,-8.329999999999998,-7.769999999999996,-7.939999999999998,9.0,-153.0
lose,4.31,-7.370000000000001,5.3799999999999955,7.689999999999998,2.4399999999999977,3.0,-25.0,389.0
win,3.76,1.8099999999999998,-4.060000000000002,-2.8100000000000023,-6.1200000000000045,-4.060000000000002,-7.0,91.0
lose,3.1,2.6700000000000004,-4.900000000000006,-2.5900000000000034,-7.1200000000000045,-4.719999999999999,12.0,-259.0
draw,3.13,1.3900000000000001,-4.900000000000006,-2.5900000000000034,-7.1200000000000045,-4.719999999999999,13.0,-208.0
lose,3.64,2.0300000000000002,-5.450000000000003,-1.75,-7.670000000000002,-4.219999999999999,14.0,-264.0
draw,3.27,-2.4699999999999998,2.3799999999999955,1.1899999999999977,0.9399999999999977,3.5,-14.0,86.0
lose,3.52,3.8499999999999996,-2.6200000000000045,-0.7800000000000011,-4.8500000000000085,-1.8799999999999955,17.0,-379.0
win,3.0,0.2799999999999998,-3.5600000000000023,-1.6400000000000006,-6.0,-3.4399999999999977,18.0,-434.0
win,6.75,-17.189999999999998,6.8799999999999955,8.689999999999998,3.4399999999999977,5.0,-42.0,402.0
win,3.27,-2.85,6.8799999999999955,8.789999999999992,5.239999999999995,8.200000000000003,-32.0,275.0
