Date,Home,Away,Score_Home,Score_Away,xG_Home,xG_Away,Elo_ranking_home,Elo_rating_home,avg_rank_home,avg_rating_home,Elo_ranking_away,Elo_rating_away,avg_rank_away,avg_rating_away,goal_dif,xG_dif,Elo_ranking_dif,Elo_rating_dif,avg_rank_dif,avg_rating_dif
2021,Colombia,Peru,3,2,1.1,1.8,13,1904,50,1602,22,1835,35,1674,1,-0.7,-9,69,15,-72
2021,Argentina,Brazil,1,0,0.5,0.7,3,2101,5,1983,1,2149,4,1997,1,-0.19999999999999996,2,-48,1,-14
2019,Venezuela,Peru,0,0,1.1,1.7,20,1829,87,1405,17,1866,35,1671,0,-0.5999999999999999,3,-37,52,-266
2019,Argentina,Colombia,0,2,0.9,1.0,9,1967,5,1982,7,1985,51,1593,-2,-0.09999999999999998,2,-18,-46,389
2019,Brazil,Bolivia,3,0,3.2,0.3,2,2082,4,1995,59,1595,59,1501,3,2.9000000000000004,-57,487,-55,494
2019,Paraguay,Qatar,2,2,1.2,2.2,33,1738,23,1756,46,1670,96,1397,0,-1.0000000000000002,-13,68,-73,359
2019,Uruguay,Ecuador,4,0,2.4,0.4,9,1967,12,1876,37,1726,67,1500,4,2.0,-28,241,-55,376
2019,Japan,Chile,0,4,2.2,1.7,30,1744,63,1444,21,1807,28,1674,-4,0.5000000000000002,9,-63,35,-230
2019,Bolivia,Peru,1,3,1.4,2.5,59,1595,59,1501,17,1866,35,1671,-2,-1.1,42,-271,24,-170
2019,Colombia,Qatar,1,0,3.2,0.3,7,1985,51,1593,46,1670,96,1397,1,2.9000000000000004,-39,315,-45,196
2019,Brazil,Venezuela,0,0,1.4,0.2,2,2082,4,1995,20,1829,87,1405,0,1.2,-18,253,-83,590
2019,Uruguay,Japan,2,2,3.3,1.2,9,1967,12,1876,30,1744,63,1444,0,2.0999999999999996,-21,223,-51,432
2019,Argentina,Paraguay,1,1,1.6,1.4,9,1967,5,1982,33,1738,23,1756,0,0.20000000000000018,-24,229,-18,226
2019,Ecuador,Chile,1,2,1.0,0.5,37,1726,67,1500,21,1807,28,1674,-1,0.5,16,-81,39,-174
2019,Peru,Brazil,0,5,0.3,4.0,17,1866,35,1671,2,2082,4,1995,-5,-3.7,15,-216,31,-324
2019,Bolivia,Venezuela,1,3,0.5,2.1,59,1595,59,1501,20,1829,87,1405,-2,-1.6,39,-234,-28,96
2019,Colombia,Paraguay,1,0,0.9,0.8,7,1985,51,1593,33,1738,23,1756,1,0.09999999999999998,-26,247,28,-163
2019,Qatar,Argentina,0,2,0.2,2.0,46,1670,96,1397,9,1967,5,1982,-2,-1.8,37,-297,91,-585
2019,Chile,Uruguay,0,1,1.0,0.9,21,1807,28,1674,9,1967,12,1876,-1,0.09999999999999998,12,-160,16,-202
2019,Ecuador,Japan,1,1,1.7,1.6,37,1726,67,1500,30,1744,63,1444,0,0.09999999999999987,7,-18,4,56
