date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2010,Portugal,North Korea,win,1.36,4.44,9.84,7,0,-8.48,81.94,82.33,81.44,80.44,65.0,66.0,64.0,65.0,5.0,1176.0,86.0,378.0,16.939999999999998,16.33,17.439999999999998,15.439999999999998,-81.0,798.0,7
2018,Russia,Egypt,win,1.97,3.54,4.26,3,1,-2.29,77.53,77.53,76.2,75.4,70.7,71.0,70.6,68.4,64.0,534.0,31.0,814.0,6.829999999999997,6.530000000000001,5.6000000000000085,7.0,33.0,-280.0,2
2018,Russia,Saudi Arabia,win,1.46,4.3,8.99,5,0,-7.53,77.53,77.53,76.2,75.4,71.5,72.0,72.0,72.0,64.0,534.0,63.0,522.0,6.030000000000001,5.530000000000001,4.200000000000003,3.4000000000000057,1.0,12.0,5
2018,Saudi Arabia,Egypt,win,5.22,3.59,1.78,2,1,3.4399999999999995,71.5,72.0,72.0,72.0,70.7,71.0,70.6,68.4,63.0,522.0,31.0,814.0,0.7999999999999972,1.0,1.4000000000000057,3.5999999999999943,32.0,-292.0,1
2010,Slovakia,Italy,win,6.78,3.82,1.54,3,2,5.24,73.0,68.0,75.0,78.0,82.65,82.24,81.65,81.65,33.0,752.0,4.0,1209.0,-9.650000000000006,-14.239999999999995,-6.650000000000006,-3.6500000000000057,29.0,-457.0,1
2010,South Africa,France,win,3.44,3.4,2.1,2,1,1.34,70.93,69.79,70.29,68.64,83.28,83.28,82.56,81.72,85.0,391.0,7.0,1117.0,-12.349999999999996,-13.489999999999995,-12.269999999999996,-13.079999999999998,78.0,-726.0,1
2018,South Korea,Germany,win,19.05,8.18,1.17,2,0,17.880000000000006,71.5,71.9,70.2,68.8,83.83,82.44,83.11,81.22,60.0,569.0,1.0,1602.0,-12.329999999999998,-10.539999999999992,-12.909999999999995,-12.420000000000002,59.0,-1033.0,2
2010,South Korea,Greece,win,2.71,3.0,2.82,2,0,-0.10999999999999988,71.5,71.9,70.2,68.8,75.12,75.12,74.12,75.12,52.0,634.0,13.0,1030.0,-3.620000000000005,-3.219999999999999,-3.9200000000000017,-6.320000000000008,39.0,-396.0,2
2006,South Korea,Togo,win,2.04,2.87,3.5,2,1,-1.46,71.5,71.9,70.2,68.8,62.0,67.0,65.0,54.0,29.0,680.0,56.0,585.0,9.5,4.900000000000006,5.200000000000003,14.799999999999995,-27.0,95.0,1
2010,Spain,Honduras,win,1.11,8.36,22.57,2,0,-21.46,84.61,83.06,84.44,82.83,68.5,68.0,70.0,67.5,1.0,1627.0,37.0,759.0,16.11,15.060000000000002,14.439999999999998,15.329999999999998,-36.0,868.0,2
2010,Spain,Portugal,win,1.98,3.19,4.16,1,0,-2.18,84.61,83.06,84.44,82.83,81.94,82.33,81.44,80.44,1.0,1627.0,5.0,1176.0,2.6700000000000017,0.730000000000004,3.0,2.390000000000001,-4.0,451.0,1
2006,Spain,Tunisia,win,1.3,4.0,9.5,3,1,-8.2,84.61,83.06,84.44,82.83,71.0,69.5,70.0,71.0,5.0,768.0,28.0,685.0,13.61,13.560000000000002,14.439999999999998,11.829999999999998,-23.0,83.0,2
2006,Spain,Ukraine,win,1.8,3.0,4.33,4,0,-2.53,84.61,83.06,84.44,82.83,75.0,74.67,73.83,69.5,5.0,768.0,40.0,629.0,9.61,8.39,10.61,13.329999999999998,-35.0,139.0,4
