date,home_team,away_team,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,result,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away
2018,Iran,Spain,19.51,6.79,1.2,0,1,lose,18.310000000000002,75.0,81.0,73.0,72.0,84.61,83.06,84.44,82.83,32.0,797.0,6.0,1231.0
2006,Italy,Australia,1.51,3.7,7.11,1,0,win,-5.6000000000000005,82.65,82.24,81.65,81.65,72.17,71.56,71.11,69.28,12.0,741.0,48.0,610.0
2014,Italy,Costa Rica,1.56,4.03,6.5,0,1,lose,-4.9399999999999995,82.65,82.24,81.65,81.65,73.0,73.0,73.0,74.0,7.0,1120.0,31.0,743.0
2006,Italy,France,2.51,2.79,3.07,1,1,draw,-0.56,82.65,82.24,81.65,81.65,83.28,83.28,82.56,81.72,12.0,741.0,5.0,768.0
2006,Italy,Ghana,1.5,3.3,6.5,2,0,win,-5.0,82.65,82.24,81.65,81.65,76.0,79.5,74.5,73.5,12.0,741.0,50.0,608.0
2010,Italy,New Zealand,1.21,5.85,15.63,1,1,draw,-14.420000000000002,82.65,82.24,81.65,81.65,65.2,66.47,61.6,63.67,4.0,1209.0,82.0,400.0
2010,Italy,Paraguay,2.13,3.02,3.84,1,1,draw,-1.71,82.65,82.24,81.65,81.65,74.0,75.08,72.85,71.92,4.0,1209.0,29.0,806.0
2006,Italy,Ukraine,1.58,3.38,6.86,3,0,win,-5.28,82.65,82.24,81.65,81.65,75.0,74.67,73.83,69.5,12.0,741.0,40.0,629.0
2014,Italy,Uruguay,2.54,3.46,2.77,0,1,lose,-0.22999999999999998,82.65,82.24,81.65,81.65,78.38,80.69,75.44,77.0,7.0,1120.0,6.0,1132.0
2014,Ivory Coast,Japan,2.7,3.29,2.71,2,1,win,-0.009999999999999787,76.0,77.6,75.8,73.8,76.0,75.0,77.0,76.0,17.0,912.0,47.0,641.0
2010,Ivory Coast,Portugal,3.81,3.15,2.09,0,0,draw,1.7200000000000002,76.0,77.6,75.8,73.8,81.94,82.33,81.44,80.44,16.0,865.0,5.0,1176.0
2006,Ivory Coast,Serbia,2.1,3.2,3.0,3,2,win,-0.8999999999999999,76.0,77.6,75.8,73.8,77.67,78.67,77.33,74.33,42.0,626.0,47.0,612.0
2006,Japan,Brazil,12.0,5.25,1.21,1,4,lose,10.79,76.0,75.0,77.0,76.0,82.67,83.17,81.22,82.22,15.0,714.0,1.0,839.0
2010,Japan,Cameroon,3.61,3.11,2.16,1,0,win,1.4499999999999997,76.0,75.0,77.0,76.0,74.31,74.56,72.81,72.75,43.0,729.0,11.0,914.0
2014,Japan,Colombia,3.44,3.71,2.07,1,4,lose,1.37,76.0,75.0,77.0,76.0,77.9,79.2,77.6,75.9,47.0,641.0,4.0,1200.0
2006,Japan,Croatia,5.0,3.3,1.61,0,0,draw,3.3899999999999997,76.0,75.0,77.0,76.0,78.12,78.5,76.75,74.62,15.0,714.0,20.0,701.0
2014,Japan,Greece,2.37,3.4,3.05,0,0,draw,-0.6799999999999997,76.0,75.0,77.0,76.0,75.12,75.12,74.12,75.12,47.0,641.0,12.0,1055.0
2018,Japan,Poland,2.89,3.1,2.75,0,1,lose,0.14000000000000012,76.0,75.0,77.0,76.0,75.78,77.89,73.39,72.33,57.0,598.0,7.0,1209.0
2018,Japan,Senegal,3.23,2.95,2.61,2,2,draw,0.6200000000000001,76.0,75.0,77.0,76.0,77.0,79.0,76.0,77.0,57.0,598.0,23.0,875.0
2006,Mexico,Angola,1.4,3.5,8.0,0,0,draw,-6.6,76.94,77.28,76.17,75.0,72.0,73.0,71.0,72.0,5.0,767.0,61.0,568.0
2014,Mexico,Cameroon,2.18,3.15,3.75,1,0,win,-1.5699999999999998,76.94,77.28,76.17,75.0,74.31,74.56,72.81,72.75,21.0,892.0,50.0,616.0
2018,Mexico,Sweden,2.23,3.37,3.51,0,3,lose,-1.2799999999999998,76.94,77.28,76.17,75.0,75.76,77.47,74.76,74.18,16.0,1032.0,18.0,1000.0
2010,Mexico,Uruguay,3.72,1.91,3.7,0,1,lose,0.020000000000000018,76.94,77.28,76.17,75.0,78.38,80.69,75.44,77.0,17.0,947.0,20.0,909.0
2018,Morocco,Iran,2.21,2.99,4.19,0,1,lose,-1.9800000000000004,77.0,78.5,72.5,78.5,75.0,81.0,73.0,72.0,40.0,748.0,32.0,797.0
2014,Netherlands,Argentina,3.0,3.22,2.56,0,0,draw,0.43999999999999995,81.0,81.47,80.29,78.88,82.53,84.74,81.05,79.47,9.0,1106.0,3.0,1251.0
2006,Netherlands,Argentina,3.4,3.0,2.0,0,0,draw,1.4,81.0,81.47,80.29,78.88,82.53,84.74,81.05,79.47,3.0,790.0,4.0,772.0
2010,Netherlands,Brazil,4.06,3.27,1.97,2,1,win,2.09,81.0,81.47,80.29,78.88,82.67,83.17,81.22,82.22,3.0,1288.0,2.0,1568.0
2014,Netherlands,Chile,2.65,3.52,2.63,2,0,win,0.020000000000000018,81.0,81.47,80.29,78.88,76.6,77.2,77.0,73.5,9.0,1106.0,15.0,1005.0
2014,Netherlands,Costa Rica,1.52,4.16,7.04,0,0,draw,-5.52,81.0,81.47,80.29,78.88,73.0,73.0,73.0,74.0,9.0,1106.0,31.0,743.0
2010,Netherlands,Denmark,1.51,3.93,7.0,2,0,win,-5.49,81.0,81.47,80.29,78.88,76.78,75.11,77.06,75.5,3.0,1288.0,28.0,827.0
2006,Netherlands,Ivory Coast,1.9,3.1,3.6,2,1,win,-1.7000000000000002,81.0,81.47,80.29,78.88,76.0,77.6,75.8,73.8,3.0,790.0,42.0,626.0
2010,Netherlands,Japan,1.43,4.1,8.4,1,0,win,-6.970000000000001,81.0,81.47,80.29,78.88,76.0,75.0,77.0,76.0,3.0,1288.0,43.0,729.0
2014,Netherlands,Mexico,2.11,3.35,3.72,2,1,win,-1.6100000000000003,81.0,81.47,80.29,78.88,76.94,77.28,76.17,75.0,9.0,1106.0,21.0,892.0
