date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2010,Brazil,North Korea,win,1.1,9.09,28.29,2,1,-27.189999999999998,82.67,83.17,81.22,82.22,65.0,66.0,64.0,65.0,2.0,1568.0,86.0,378.0,17.67,17.17,17.22,17.22,-84.0,1190.0,1
2018,Brazil,Switzerland,draw,1.47,4.38,8.28,1,1,-6.81,82.67,83.17,81.22,82.22,76.94,74.88,75.81,76.44,2.0,1483.0,8.0,1190.0,5.730000000000004,8.290000000000006,5.409999999999997,5.780000000000001,-6.0,293.0,0
2014,Cameroon,Croatia,lose,5.38,3.9,1.67,0,4,3.71,74.31,74.56,72.81,72.75,78.12,78.5,76.75,74.62,50.0,616.0,16.0,971.0,-3.8100000000000023,-3.9399999999999977,-3.9399999999999977,-1.8700000000000045,34.0,-355.0,-4
2010,Cameroon,Denmark,lose,2.87,3.17,2.52,1,2,0.3500000000000001,74.31,74.56,72.81,72.75,76.78,75.11,77.06,75.5,11.0,914.0,28.0,827.0,-2.469999999999999,-0.5499999999999972,-4.25,-2.75,-17.0,87.0,-1
2010,Cameroon,Netherlands,lose,5.26,3.73,1.66,1,2,3.5999999999999996,74.31,74.56,72.81,72.75,81.0,81.47,80.29,78.88,11.0,914.0,3.0,1288.0,-6.689999999999998,-6.909999999999997,-7.480000000000004,-6.1299999999999955,8.0,-374.0,-1
2014,Chile,Australia,win,1.42,4.44,8.74,3,1,-7.32,76.6,77.2,77.0,73.5,72.17,71.56,71.11,69.28,15.0,1005.0,58.0,571.0,4.429999999999993,5.640000000000001,5.890000000000001,4.219999999999999,-43.0,434.0,2
2010,Chile,Spain,lose,6.91,4.15,1.48,1,2,5.43,76.6,77.2,77.0,73.5,84.61,83.06,84.44,82.83,15.0,955.0,1.0,1627.0,-8.010000000000005,-5.859999999999999,-7.439999999999998,-9.329999999999998,14.0,-672.0,-1
2010,Chile,Switzerland,win,2.16,3.14,3.6,1,0,-1.44,76.6,77.2,77.0,73.5,76.94,74.88,75.81,76.44,15.0,955.0,18.0,924.0,-0.3400000000000034,2.3200000000000074,1.1899999999999977,-2.9399999999999977,-3.0,31.0,1
2018,Colombia,England,draw,4.05,3.12,2.16,1,1,1.8899999999999997,77.9,79.2,77.6,75.9,82.44,83.5,81.56,81.06,13.0,1078.0,15.0,1047.0,-4.539999999999992,-4.299999999999997,-3.960000000000008,-5.159999999999997,-2.0,31.0,0
2014,Colombia,Greece,win,1.86,3.25,5.09,3,0,-3.2299999999999995,77.9,79.2,77.6,75.9,75.12,75.12,74.12,75.12,4.0,1200.0,12.0,1055.0,2.780000000000001,4.079999999999998,3.4799999999999898,0.7800000000000011,-8.0,145.0,3
2014,Colombia,Ivory Coast,win,2.04,3.5,3.73,2,1,-1.69,77.9,79.2,77.6,75.9,76.0,77.6,75.8,73.8,4.0,1200.0,17.0,912.0,1.9000000000000057,1.6000000000000085,1.7999999999999972,2.1000000000000085,-13.0,288.0,1
2018,Colombia,Japan,lose,1.88,3.33,5.13,1,2,-3.25,77.9,79.2,77.6,75.9,76.0,75.0,77.0,76.0,13.0,1078.0,57.0,598.0,1.9000000000000057,4.200000000000003,0.5999999999999943,-0.09999999999999432,-44.0,480.0,-1
2014,Colombia,Uruguay,win,2.13,3.33,3.69,2,0,-1.56,77.9,79.2,77.6,75.9,78.38,80.69,75.44,77.0,4.0,1200.0,6.0,1132.0,-0.47999999999998977,-1.4899999999999949,2.1599999999999966,-1.0999999999999943,-2.0,68.0,2
